"SCIENTIFIC_NAME","TAXON_ORDER","CATEGORY","SPECIES_CODE","PRIMARY_COM_NAME","ORDER","FAMILY","REPORT_AS","HebName"
"Passer hemileucus",30925,"species","aakspa1","Abd al Kuri Sparrow","Passeriformes","Passeridae",NA,"Abd al Kuri Sparrow"
"Malacocincla abbotti",25751,"species","abbbab1","Abbott's Babbler","Passeriformes","Pellorneidae",NA,"Abbott's Babbler"
"Papasula abbotti",7124,"species","abbboo2","Abbott's Booby","Suliformes","Sulidae",NA,"Abbott's Booby"
"Arizelopsar femoralis",27349,"species","abbsta2","Abbott's Starling","Passeriformes","Sturnidae",NA,"Abbott's Starling"
"Horornis flavolivaceus",24636,"species","abbwar1","Aberrant Bush Warbler","Passeriformes","Scotocercidae",NA,"Aberrant Bush Warbler"
"Horornis flavolivaceus [flavolivaceus Group]",24646,"issf","abbwar2","Aberrant Bush Warbler (Aberrant)","Passeriformes","Scotocercidae","abbwar1","Aberrant Bush Warbler (Aberrant)"
"Horornis flavolivaceus intricatus/oblitus",24650,"issf","abbwar3","Aberrant Bush Warbler (Perplexing)","Passeriformes","Scotocercidae","abbwar1","Aberrant Bush Warbler (Perplexing)"
"Cryptospiza salvadorii",30589,"species","abcwin1","Abyssinian Crimsonwing","Passeriformes","Estrildidae",NA,"Abyssinian Crimsonwing"
"Ciconia abdimii",7054,"species","abdsto1","Abdim's Stork","Ciconiiformes","Ciconiidae",NA,"חסידת אבדים"
"Cisticola aberdare",22988,"species","abecis1","Aberdare Cisticola","Passeriformes","Cisticolidae",NA,"Aberdare Cisticola"
"Turdus tephronotus",27936,"species","abethr1","African Bare-eyed Thrush","Passeriformes","Turdidae",NA,"African Bare-eyed Thrush"
"Melozone aberti",32668,"species","abetow","Abert's Towhee","Passeriformes","Passerellidae",NA,"Abert's Towhee"
"Geokichla piaggiae",27783,"species","abgthr1","Abyssinian Ground-Thrush","Passeriformes","Turdidae",NA,"Abyssinian Ground-Thrush"
"Oriolus larvatus",19186,"species","abhori1","African Black-headed Oriole","Passeriformes","Oriolidae",NA,"African Black-headed Oriole"
"Rhinopomastus minor",9357,"species","absbil1","Abyssinian Scimitarbill","Bucerotiformes","Phoeniculidae",NA,"Abyssinian Scimitarbill"
"Geospizopsis plebejus",34668,"species","absfin1","Ash-breasted Sierra Finch","Passeriformes","Thraupidae",NA,"Ash-breasted Sierra Finch"
"Anairetes alpinus",16177,"species","abttyr1","Ash-breasted Tit-Tyrant","Passeriformes","Tyrannidae",NA,"Ash-breasted Tit-Tyrant"
"Sylvia galinieri",24726,"species","abycat1","Abyssinian Catbird","Passeriformes","Sylviidae",NA,"Abyssinian Catbird"
"Geokichla piaggiae [piaggiae Group]",27784,"issf","abygrt1","Abyssinian Ground-Thrush (Abyssinian)","Passeriformes","Turdidae","abgthr1","Abyssinian Ground-Thrush (Abyssinian)"
"Macronyx flavicollis",31284,"species","abylon1","Abyssinian Longclaw","Passeriformes","Motacillidae",NA,"Abyssinian Longclaw"
"Caprimulgus poliocephalus poliocephalus",3680,"issf","abynig1","Montane Nightjar (Abyssinian)","Caprimulgiformes","Caprimulgidae","monnig1","Montane Nightjar (Abyssinian)"
"Coracias abyssinicus",10035,"species","abyrol2","Abyssinian Roller","Coraciiformes","Coraciidae",NA,"כחל אתיופי"
"Serinus nigriceps",31924,"species","abysis1","Ethiopian Siskin","Passeriformes","Fringillidae",NA,"Ethiopian Siskin"
"Melaenornis chocolatinus",28310,"species","abyslf1","Abyssinian Slaty-Flycatcher","Passeriformes","Muscicapidae",NA,"Abyssinian Slaty-Flycatcher"
"Turdus abyssinicus",27844,"species","abythr1","Abyssinian Thrush","Passeriformes","Turdidae",NA,"Abyssinian Thrush"
"Turdus abyssinicus oldeani",27845,"issf","abythr2","Abyssinian Thrush (Ngorongoro)","Passeriformes","Turdidae","abythr1","Abyssinian Thrush (Ngorongoro)"
"Turdus abyssinicus [abyssinicus Group]",27846,"issf","abythr3","Abyssinian Thrush (Abyssinian)","Passeriformes","Turdidae","abythr1","Abyssinian Thrush (Abyssinian)"
"Zosterops socotranus",25113,"species","abywhe1","Socotra White-eye","Passeriformes","Zosteropidae",NA,"לבן-עין סוקוטרה"
"Chloropicus abyssinicus",10959,"species","abywoo1","Abyssinian Woodpecker","Piciformes","Picidae",NA,"Abyssinian Woodpecker"
"Empidonax virescens",16527,"species","acafly","Acadian Flycatcher","Passeriformes","Tyrannidae",NA,"חטפית ירקרקה"
"Prunella sp.",30879,"spuh","accent1","accentor sp.","Passeriformes","Prunellidae",NA,"סתרי בלתי-מזוהה"
"Accipiter sp.",8078,"spuh","accipi","Accipitrine hawk sp. (former Accipiter sp.)","Accipitriformes","Accipitridae",NA,"נץ בלתי-מזוהה"
"Melanerpes formicivorus",10835,"species","acowoo","Acorn Woodpecker","Piciformes","Picidae",NA,"Acorn Woodpecker"
"Melanerpes formicivorus [formicivorus Group]",10836,"issf","acowoo1","Acorn Woodpecker (Acorn)","Piciformes","Picidae","acowoo","Acorn Woodpecker (Acorn)"
"Melanerpes formicivorus angustifrons",10843,"issf","acowoo2","Acorn Woodpecker (Narrow-fronted)","Piciformes","Picidae","acowoo","Acorn Woodpecker (Narrow-fronted)"
"Thamnophilus divisorius",13247,"species","acrant1","Acre Antshrike","Passeriformes","Thamnophilidae",NA,"Acre Antshrike"
"Acridotheres sp.",27312,"spuh","acrido1","Acridotheres sp.","Passeriformes","Sturnidae",NA,"Acridotheres sp."
"Acrocephalus sp.",23246,"spuh","acroce1","Acrocephalus sp.","Passeriformes","Acrocephalidae",NA,"קנית בלתי-מזוהה"
"Hemitriccus cohnhafti",15919,"species","acrtot1","Acre Tody-Tyrant","Passeriformes","Tyrannidae",NA,"Acre Tody-Tyrant"
"Pygoscelis adeliae",6727,"species","adepen1","Adelie Penguin","Sphenisciformes","Spheniscidae",NA,"Adelie Penguin"
"Platycercus elegans adelaidae/subadelaidae",12152,"issf","aderos1","Crimson Rosella (Adelaide)","Psittaciformes","Psittaculidae","criros2","Crimson Rosella (Adelaide)"
"Setophaga adelaidae",33495,"species","adewar1","Adelaide's Warbler","Passeriformes","Parulidae",NA,"Adelaide's Warbler"
"Streptopelia hypopyrrha",2023,"species","adtdov1","Adamawa Turtle-Dove","Columbiformes","Columbidae",NA,"Adamawa Turtle-Dove"
"Aerodramus sp.",4018,"spuh","aerodr1","dark swiftlet sp.","Caprimulgiformes","Apodidae",NA,"dark swiftlet sp."
"Aethopyga sp.",29947,"spuh","aethop1","Aethopyga sp.","Passeriformes","Nectariniidae",NA,"Aethopyga sp."
"Anas sparsa",487,"species","afbduc1","African Black Duck","Anseriformes","Anatidae",NA,"ברווז שחור אפריקני"
"Elminia longicauda",21410,"species","afbfly1","African Blue Flycatcher","Passeriformes","Stenostiridae",NA,"African Blue Flycatcher"
"Glaucidium capense",8792,"species","afbowl1","African Barred Owlet","Strigiformes","Strigidae",NA,"African Barred Owlet"
"Glaucidium capense scheffleri",8793,"issf","afbowl2","African Barred Owlet (Spot-fronted)","Strigiformes","Strigidae","afbowl1","African Barred Owlet (Spot-fronted)"
"Cyanistes teneriffae",21621,"species","afbtit2","African Blue Tit","Passeriformes","Paridae",NA,"ירגזי כחול אפריקני"
"Bradypterus baboecala",23414,"species","afbwar1","Little Rush Warbler","Passeriformes","Locustellidae",NA,"Little Rush Warbler"
"Streptopelia roseogrisea",2037,"species","afcdov1","African Collared-Dove","Columbiformes","Columbidae",NA,"תור צווארון אפריקני"
"Trochocercus cyanomelas",20172,"species","afcfly1","African Crested Flycatcher","Passeriformes","Monarchidae",NA,"African Crested Flycatcher"
"Muscicapa adusta",28183,"species","afdfly1","African Dusky Flycatcher","Passeriformes","Muscicapidae",NA,"African Dusky Flycatcher"
"Curruca deserti",24787,"species","afdwar1","African Desert Warbler","Passeriformes","Sylviidae",NA,"סבכי מדבר מערבי"
"Chrysococcyx cupreus",3271,"species","afecuc1","African Emerald Cuckoo","Cuculiformes","Cuculidae",NA,"African Emerald Cuckoo"
"Chrysococcyx cupreus cupreus",3272,"issf","afecuc2","African Emerald Cuckoo (African)","Cuculiformes","Cuculidae","afecuc1","African Emerald Cuckoo (African)"
"Chrysococcyx cupreus intermedius",3273,"issf","afecuc3","African Emerald Cuckoo (Bioko)","Cuculiformes","Cuculidae","afecuc1","African Emerald Cuckoo (Bioko)"
"Chrysococcyx cupreus insularum",3274,"issf","afecuc4","African Emerald Cuckoo (Insular)","Cuculiformes","Cuculidae","afecuc1","African Emerald Cuckoo (Insular)"
"Columba unicincta",1897,"species","afepig1","Afep Pigeon","Columbiformes","Columbidae",NA,"Afep Pigeon"
"Haliaeetus vocifer",8115,"species","affeag1","African Fish-Eagle","Accipitriformes","Accipitridae",NA,"עיטם אפריקני"
"Lagonosticta rubricata",30768,"species","afffin","African Firefinch","Passeriformes","Estrildidae",NA,"African Firefinch"
"Fraseria ocreata",28261,"species","afffly1","African Forest-Flycatcher","Passeriformes","Muscicapidae",NA,"African Forest-Flycatcher"
"Bradornis microrhynchus",28227,"species","afgfly1","African Gray Flycatcher","Passeriformes","Muscicapidae",NA,"African Gray Flycatcher"
"Lophoceros nasutus",9372,"species","afghor1","African Gray Hornbill","Bucerotiformes","Bucerotidae",NA,"קלאו אפור"
"Oriolus auratus",19143,"species","afgori2","African Golden Oriole","Passeriformes","Oriolidae",NA,"African Golden Oriole"
"Tyto capensis",8333,"species","afgowl1","African Grass-Owl","Strigiformes","Tytonidae",NA,"African Grass-Owl"
"Montifringilla theresae",31015,"species","afgsno1","Afghan Snowfinch","Passeriformes","Passeridae",NA,"Afghan Snowfinch"
"Ploceus subaureus",30154,"species","afgwea1","African Golden-Weaver","Passeriformes","Ploceidae",NA,"African Golden-Weaver"
"Chloropicus goertae [goertae Group]",10993,"issf","afgwoo1","African Gray Woodpecker (Gray)","Piciformes","Picidae","grywoo1","African Gray Woodpecker (Gray)"
"Chloropicus goertae koenigi",10992,"issf","afgwoo2","African Gray Woodpecker (Sahel)","Piciformes","Picidae","grywoo1","African Gray Woodpecker (Sahel)"
"Sylvia abyssinica",24728,"species","afhbab1","African Hill Babbler","Passeriformes","Sylviidae",NA,"African Hill Babbler"
"Sylvia abyssinica abyssinica/stictigula",24732,"issf","afhbab2","African Hill Babbler (African)","Passeriformes","Sylviidae","afhbab1","African Hill Babbler (African)"
"Sylvia atriceps",24735,"species","afhbab3","Rwenzori Hill Babbler","Passeriformes","Sylviidae",NA,"Rwenzori Hill Babbler"
"Sylvia abyssinica monachus",24729,"issf","afhbab4","African Hill Babbler (Mt. Cameroon)","Passeriformes","Sylviidae","afhbab1","African Hill Babbler (Mt. Cameroon)"
"Sylvia abyssinica claudei",24730,"issf","afhbab5","African Hill Babbler (Claude's)","Passeriformes","Sylviidae","afhbab1","African Hill Babbler (Claude's)"
"Sylvia abyssinica stierlingi",24731,"issf","afhbab6","African Hill Babbler (Stierling's)","Passeriformes","Sylviidae","afhbab1","African Hill Babbler (Stierling's)"
"Polyboroides typus",7587,"species","afhhaw1","African Harrier-Hawk","Accipitriformes","Accipitridae",NA,"African Harrier-Hawk"
"Streptopelia decipiens",2044,"species","afmdov1","Mourning Collared-Dove","Columbiformes","Columbidae",NA,"Mourning Collared-Dove"
"Circus ranivorus",7860,"species","afmhar1","African Marsh Harrier","Accipitriformes","Accipitridae",NA,"זרון סוף אפריקני"
"Ploceus velatus",30177,"species","afmwea","Southern Masked-Weaver","Passeriformes","Ploceidae",NA,"אורג דרומי"
"Terpsiphone viridis",20280,"species","afpfly1","African Paradise-Flycatcher","Passeriformes","Monarchidae",NA,"חטפית גן-עדן אפריקנית"
"Lophoceros fasciatus",9368,"species","afphor1","West African/Congo Pied Hornbill","Bucerotiformes","Bucerotidae",NA,"West African/Congo Pied Hornbill"
"Lophoceros fasciatus semifasciatus",9369,"issf","afphor2","West African Pied Hornbill","Bucerotiformes","Bucerotidae","afphor1","West African Pied Hornbill"
"Lophoceros fasciatus fasciatus",9370,"issf","afphor3","Congo Pied Hornbill","Bucerotiformes","Bucerotidae","afphor1","Congo Pied Hornbill"
"Ispidina picta",9649,"species","afpkin1","African Pygmy Kingfisher","Coraciiformes","Alcedinidae",NA,"African Pygmy Kingfisher"
"Lamprotornis bicolor",27381,"species","afpsta1","African Pied Starling","Passeriformes","Sturnidae",NA,"African Pied Starling"
"Cypsiurus parvus",4122,"species","afpswi1","African Palm Swift","Caprimulgiformes","Apodidae",NA,"סיס-דקלים אפריקני"
"Anthoscopus caroli",21793,"species","afptit1","African Penduline-Tit","Passeriformes","Remizidae",NA,"African Penduline-Tit"
"Motacilla aguimp",31067,"species","afpwag1","African Pied Wagtail","Passeriformes","Motacillidae",NA,"נחליאלי אפריקני"
"Glaucidium capense capense/ngamiense",8794,"issf","afrbao1","African Barred Owlet (Bar-fronted)","Strigiformes","Strigidae","afbowl1","African Barred Owlet (Bar-fronted)"
"Lybiidae sp.",10383,"spuh","afrbar1","african barbet sp.","Piciformes","Lybiidae",NA,"african barbet sp."
"Smithornis capensis",12878,"species","afrbro1","African Broadbill","Passeriformes","Calyptomenidae",NA,"African Broadbill"
"Crithagra citrinelloides",31715,"species","afrcit1","African Citril","Passeriformes","Fringillidae",NA,"African Citril"
"Streptopelia roseogrisea (Domestic type)",2040,"domestic","afrcod1","African Collared-Dove (Domestic type or Ringed Turtle-Dove)","Columbiformes","Columbidae","afcdov1","תור צווארון אפריקני (מבוית/תור הטבעת)"
"Crex egregia",5241,"species","afrcra1","African Crake","Gruiformes","Rallidae",NA,"מלכישליו אפריקני"
"Trochocercus cyanomelas [bivittatus Group]",20173,"issf","afrcrf1","African Crested Flycatcher (Eastern)","Passeriformes","Monarchidae","afcfly1","African Crested Flycatcher (Eastern)"
"Trochocercus cyanomelas cyanomelas/segregus",20177,"issf","afrcrf2","African Crested Flycatcher (Southern)","Passeriformes","Monarchidae","afcfly1","African Crested Flycatcher (Southern)"
"Cuculus gularis",3392,"species","afrcuc1","African Cuckoo","Cuculiformes","Cuculidae",NA,"African Cuckoo"
"Campephaga sp.",18317,"spuh","afrcuc2","african cuckooshrike sp.","Passeriformes","Campephagidae",NA,"african cuckooshrike sp."
"Aviceda cuculoides",7630,"species","afrcuh1","African Cuckoo-Hawk","Accipitriformes","Accipitridae",NA,"African Cuckoo-Hawk"
"Podica senegalensis",5589,"species","afrfin1","African Finfoot","Gruiformes","Heliornithidae",NA,"African Finfoot"
"Fraseria ocreata prosphora/kelsalli",28262,"issf","afrfof1","African Forest-Flycatcher (Western)","Passeriformes","Muscicapidae","afffly1","African Forest-Flycatcher (Western)"
"Fraseria ocreata ocreata",28265,"issf","afrfof2","African Forest-Flycatcher (Eastern)","Passeriformes","Muscicapidae","afffly1","African Forest-Flycatcher (Eastern)"
"Accipiter tachiro",7896,"species","afrgos1","African Goshawk","Accipitriformes","Accipitridae",NA,"African Goshawk"
"Accipiter tachiro unduliventer/croizati",7902,"issf","afrgos2","African Goshawk (Ethiopian)","Accipitriformes","Accipitridae","afrgos1","African Goshawk (Ethiopian)"
"Accipiter tachiro sparsimfasciatus",7905,"issf","afrgos3","African Goshawk (Eastern)","Accipitriformes","Accipitridae","afrgos1","African Goshawk (Eastern)"
"Accipiter tachiro pembaensis",7906,"issf","afrgos4","African Goshawk (Pemba)","Accipitriformes","Accipitridae","afrgos1","African Goshawk (Pemba)"
"Accipiter tachiro tachiro",7907,"issf","afrgos5","African Goshawk (Southern)","Accipitriformes","Accipitridae","afrgos1","African Goshawk (Southern)"
"Treron calvus",2530,"species","afrgrp1","African Green-Pigeon","Columbiformes","Columbidae",NA,"African Green-Pigeon"
"Treron calvus [calvus Group]",2531,"issf","afrgrp2","African Green-Pigeon (African)","Columbiformes","Columbidae","afrgrp1","African Green-Pigeon (African)"
"Treron calvus delalandii/granti",2545,"issf","afrgrp3","African Green-Pigeon (Gray-breasted)","Columbiformes","Columbidae","afrgrp1","African Green-Pigeon (Gray-breasted)"
"Aquila spilogaster",7814,"species","afrhae1","African Hawk-Eagle","Accipitriformes","Accipitridae",NA,"עיט ניצי אפריקני"
"Falco cuvierii",11746,"species","afrhob1","African Hobby","Falconiformes","Falconidae",NA,"African Hobby"
"Actophilornis africanus",5905,"species","afrjac1","African Jacana","Charadriiformes","Jacanidae",NA,"ז'קנה אפריקנית"
"Pseudochelidon eurystomina",23472,"species","afrmar2","African River Martin","Passeriformes","Hirundinidae",NA,"African River Martin"
"Anastomus lamelligerus",7050,"species","afrope1","African Openbill","Ciconiiformes","Ciconiidae",NA,"African Openbill"
"Haematopus moquini",5728,"species","afroys1","African Oystercatcher","Charadriiformes","Haematopodidae",NA,"שלצדף אפריקני"
"Cypsiurus gracilis griveaudi",4130,"issf","afrpas2","Malagasy Palm Swift (Comoro)","Caprimulgiformes","Apodidae","malpas1","Malagasy Palm Swift (Comoro)"
"Cypsiurus gracilis gracilis",4131,"issf","afrpas3","Malagasy Palm Swift (Madagascar)","Caprimulgiformes","Apodidae","malpas1","Malagasy Palm Swift (Madagascar)"
"Anthoscopus caroli sylviella/sharpei",21798,"issf","afrpet1","African Penduline-Tit (Buff-bellied)","Passeriformes","Remizidae","afptit1","African Penduline-Tit (Buff-bellied)"
"Anthoscopus caroli [ansorgei Group]",21794,"issf","afrpet2","African Penduline-Tit (White-bellied)","Passeriformes","Remizidae","afptit1","African Penduline-Tit (White-bellied)"
"Anthoscopus caroli roccatii",21801,"issf","afrpet3","African Penduline-Tit (Yellow-bellied)","Passeriformes","Remizidae","afptit1","African Penduline-Tit (Yellow-bellied)"
"Anthoscopus caroli rankinei",21802,"issf","afrpet4","African Penduline-Tit (Slaty-backed)","Passeriformes","Remizidae","afptit1","African Penduline-Tit (Slaty-backed)"
"Anthoscopus caroli [caroli Group]",21803,"issf","afrpet5","African Penduline-Tit (Buff-vented)","Passeriformes","Remizidae","afptit1","African Penduline-Tit (Buff-vented)"
"Verreauxia africana",10797,"species","afrpic1","African Piculet","Piciformes","Picidae",NA,"African Piculet"
"Anthus cinnamomeus",31111,"species","afrpip1","African Pipit","Passeriformes","Motacillidae",NA,"פפיון אפריקני"
"Anthus cinnamomeus camaroonensis",31112,"issf","afrpip2","African Pipit (Cameroon)","Passeriformes","Motacillidae","afrpip1","African Pipit (Cameroon)"
"Anthus cinnamomeus eximius",31113,"issf","afrpip3","African Pipit (Yemen)","Passeriformes","Motacillidae","afrpip1","פפיון אפריקני (תימן)"
"Anthus cinnamomeus [cinnamomeus Group]",31114,"issf","afrpip4","African Pipit (African)","Passeriformes","Motacillidae","afrpip1","African Pipit (African)"
"Anthus cinnamomeus grotei",31126,"issf","afrpip5","African Pipit (Etosha)","Passeriformes","Motacillidae","afrpip1","African Pipit (Etosha)"
"Pitta angolensis",13023,"species","afrpit1","African Pitta","Passeriformes","Pittidae",NA,"African Pitta"
"Nettapus auritus",421,"species","afrpyg1","African Pygmy-Goose","Anseriformes","Anatidae",NA,"אווזון גמדי אפריקני"
"Ortygospiza atricollis [fuscocrissa Group]",30680,"issf","afrqua2","Quailfinch (Spectacled)","Passeriformes","Estrildidae","quailf1","Quailfinch (Spectacled)"
"Rallus caerulescens",5230,"species","afrrai1","African Rail","Gruiformes","Rallidae",NA,"רלית אפריקנית"
"Acrocephalus scirpaceus avicenniae",23154,"issf","afrrew2","Common Reed Warbler (Mangrove)","Passeriformes","Acrocephalidae","eurwar1","קנית קטנה (מנגרובים)"
"Otus senegalensis senegalensis",8478,"issf","afrsco1","African Scops-Owl (African)","Strigiformes","Strigidae","afsowl1","African Scops-Owl (African)"
"Otus socotranus",8503,"species","afrsco2","Socotra Scops-Owl","Strigiformes","Strigidae",NA,"Socotra Scops-Owl"
"Otus senegalensis feae",8479,"issf","afrsco3","African Scops-Owl (Annobon)","Strigiformes","Strigidae","afsowl1","African Scops-Owl (Annobon)"
"Otus senegalensis nivosus",8480,"issf","afrsco4","African Scops-Owl (Snowy)","Strigiformes","Strigidae","afsowl1","African Scops-Owl (Snowy)"
"Cercotrichas galactotes minor/hamertoni",28342,"issf","afrscr1","Rufous-tailed Scrub-Robin (African)","Passeriformes","Muscicapidae","rutscr1","חמריה חלודת-זנב (אפריקנית)"
"Crithagra sp.",31799,"spuh","afrsee1","african seedeater sp.","Passeriformes","Fringillidae",NA,"african seedeater sp."
"Megabyas flammulatus",19439,"species","afrshf1","African Shrike-flycatcher","Passeriformes","Vangidae",NA,"African Shrike-flycatcher"
"Euodice cantans",30416,"species","afrsil1","African Silverbill","Passeriformes","Estrildidae",NA,"כסוף-מקור אפריקני"
"Rynchops flavirostris",6684,"species","afrski1","African Skimmer","Charadriiformes","Laridae",NA,"גיזרן אפריקני"
"Gallinago nigripennis",6100,"species","afrsni1","African Snipe","Charadriiformes","Scolopacidae",NA,"חרטומית אפריקנית"
"Platalea alba",7536,"species","afrspo1","African Spoonbill","Pelecaniformes","Threskiornithidae",NA,"כפן אפריקני"
"Saxicola torquatus",29057,"species","afrsto1","African Stonechat","Passeriformes","Muscicapidae",NA,"African Stonechat"
"Apus barbatus",4054,"species","afrswi1","African Swift","Caprimulgiformes","Apodidae",NA,"סיס אפריקני"
"Apus barbatus sladeniae",4055,"issf","afrswi2","African Swift (Bioko)","Caprimulgiformes","Apodidae","afrswi1","African Swift (Bioko)"
"Apus barbatus [barbatus Group]",4056,"issf","afrswi3","African Swift (African)","Caprimulgiformes","Apodidae","afrswi1","African Swift (African)"
"Artisornis metopias",22472,"species","afrtai2","African Tailorbird","Passeriformes","Cisticolidae",NA,"African Tailorbird"
"Turdus pelios",28049,"species","afrthr1","African Thrush","Passeriformes","Turdidae",NA,"African Thrush"
"Turdus pelios [pelios Group]",28050,"issf","afrthr2","African Thrush (African)","Passeriformes","Turdidae","afrthr1","African Thrush (African)"
"Turdus pelios nigrilorum/poensis",28057,"issf","afrthr3","African Thrush (Black-lored)","Passeriformes","Turdidae","afrthr1","African Thrush (Black-lored)"
"Turdus pelios stormsi/graueri",28060,"issf","afrthr4","African Thrush (Orange-bellied)","Passeriformes","Turdidae","afrthr1","African Thrush (Orange-bellied)"
"Apaloderma sp.",9268,"spuh","afrtro1","african trogon sp.","Trogoniformes","Trogonidae",NA,"african trogon sp."
"Acrocephalus scirpaceus [baeticatus Group]",23156,"issf","afrwar1","Common Reed Warbler (African)","Passeriformes","Acrocephalidae","eurwar1","קנית קטנה אפריקנית"
"Otus senegalensis",8477,"species","afsowl1","African Scops-Owl","Strigiformes","Strigidae",NA,"African Scops-Owl"
"Bradypterus barratti",23389,"species","afswar1","Barratt's Warbler","Passeriformes","Locustellidae",NA,"Barratt's Warbler"
"Strix woodfordii",8957,"species","afwowl1","African Wood-Owl","Strigiformes","Strigidae",NA,"African Wood-Owl"
"Iduna natalensis",23117,"species","afywar1","African Yellow-Warbler","Passeriformes","Acrocephalidae",NA,"African Yellow-Warbler"
"Zosterops stenocricotus",25115,"species","afywhe1","Forest White-eye","Passeriformes","Zosteropidae",NA,"Forest White-eye"
"Zosterops senegalensis",25133,"species","afywhe2","Northern Yellow White-eye","Passeriformes","Zosteropidae",NA,"Northern Yellow White-eye"
"Zosterops stuhlmanni",25116,"species","afywhe3","Green White-eye","Passeriformes","Zosteropidae",NA,"Green White-eye"
"Zosterops anderssoni",25152,"species","afywhe4","Southern Yellow White-eye","Passeriformes","Zosteropidae",NA,"Southern Yellow White-eye"
"Agamia agami",7422,"species","agaher1","Agami Heron","Pelecaniformes","Ardeidae",NA,"Agami Heron"
"Uromyias agilis",16191,"species","agitit1","Agile Tit-Tyrant","Passeriformes","Tyrannidae",NA,"Agile Tit-Tyrant"
"Certhilauda curvirostris brevirostris",21857,"issf","agular1","Cape Long-billed Lark (Agulhas)","Passeriformes","Alaudidae","y00415","Cape Long-billed Lark (Agulhas)"
"Acrocephalus nijoi",23208,"species","agurew1","Aguiguan Reed Warbler","Passeriformes","Acrocephalidae",NA,"Aguiguan Reed Warbler"
"Anas crecca carolinensis",565,"issf","agwtea1","Green-winged Teal (American)","Anseriformes","Anatidae","gnwtea","שרשיר (אמריקני)"
"Pternistis ahantensis",1734,"species","ahafra2","Ahanta Spurfowl","Galliformes","Phasianidae",NA,"Ahanta Spurfowl"
"Herpsilochmus stotzi",13425,"species","ajpant1","Aripuana Antwren","Passeriformes","Thamnophilidae",NA,"Aripuana Antwren"
"Loxops caeruleirostris",31484,"species","akekee","Akekee","Passeriformes","Fringillidae",NA,"Akekee"
"Ketupa leucostictus",8677,"species","akeowl1","Akun Eagle-Owl","Strigiformes","Strigidae",NA,"Akun Eagle-Owl"
"Loxops coccineus",31485,"species","akepa1","Hawaii Akepa","Passeriformes","Fringillidae",NA,"Hawaii Akepa"
"Loxops wolstenholmei",31486,"species","akepa2","Oahu Akepa","Passeriformes","Fringillidae",NA,"Oahu Akepa"
"Loxops ochraceus",31487,"species","akepa3","Maui Akepa","Passeriformes","Fringillidae",NA,"Maui Akepa"
"Hemignathus wilsoni",31471,"species","akiapo","Akiapolaau","Passeriformes","Fringillidae",NA,"Akiapolaau"
"Oreomystis bairdi",31447,"species","akikik","Akikiki","Passeriformes","Fringillidae",NA,"Akikiki"
"Myrmotherula snowi",13402,"species","alaant1","Alagoas Antwren","Passeriformes","Thamnophilidae",NA,"Alagoas Antwren"
"Mitu mitu",892,"species","alacur1","Alagoas Curassow","Galliformes","Cracidae",NA,"Alagoas Curassow"
"Tachybaptus rufolavatus",1785,"species","alagre1","Alaotra Grebe","Podicipediformes","Podicipedidae",NA,"Alaotra Grebe"
"Phylloscartes ceciliae",15858,"species","alatyr1","Alagoas Tyrannulet","Passeriformes","Tyrannidae",NA,"Alagoas Tyrannulet"
"Alaudala sp.",22189,"spuh","alauda1","Alaudala sp.","Passeriformes","Alaudidae",NA,"עפרונן Alaudala בלתי-מזוהה"
"Diomedeidae sp.",6792,"spuh","albatr1","albatross sp.","Procellariiformes","Diomedeidae",NA,"אלבטרוס בלתי-מזוהה"
"Menura alberti",17071,"species","alblyr1","Albert's Lyrebird","Passeriformes","Menuridae",NA,"Albert's Lyrebird"
"Glaucidium albertinum",8799,"species","albowl1","Albertine Owlet","Strigiformes","Strigidae",NA,"Albertine Owlet"
"Nesillas aldabrana",23091,"species","albwar1","Aldabra Brush-Warbler","Passeriformes","Acrocephalidae",NA,"Aldabra Brush-Warbler"
"Branta hutchinsii leucopareia",309,"issf","alcgoo1","Cackling Goose (Aleutian)","Anseriformes","Anatidae","cacgoo1","Cackling Goose (Aleutian)"
"Alcidae sp.",6352,"spuh","alcid","alcid sp.","Charadriiformes","Alcidae",NA,"אלקה/אלקית בלתי-מזוהה"
"Alcippe sp.",25850,"spuh","alcipp1","Alcippe sp.","Passeriformes","Leiothrichidae",NA,"Alcippe sp."
"Dicrurus aldabranus",19932,"species","alddro1","Aldabra Drongo","Passeriformes","Dicruridae",NA,"Aldabra Drongo"
"Empidonax alnorum",16528,"species","aldfly","Alder Flycatcher","Passeriformes","Tyrannidae",NA,"חטפית האלמון"
"Zosterops aldabrensis",25166,"species","aldwhe1","Aldabra White-eye","Passeriformes","Zosteropidae",NA,"Aldabra White-eye"
"Alectoris sp.",1706,"spuh","alecto1","Alectoris sp.","Galliformes","Phasianidae",NA,"Alectoris sp."
"Asio abyssinicus",8971,"species","aleowl1","Abyssinian Owl","Strigiformes","Strigidae",NA,"Abyssinian Owl"
"Polytelis alexandrae",11932,"species","alepar1","Princess Parrot","Psittaciformes","Psittaculidae",NA,"Princess Parrot"
"Psittacula eupatria",12012,"species","alepar2","Alexandrine Parakeet","Psittaciformes","Psittaculidae",NA,"דררה אלכסנדרית (פליטת שבי)"
"Apus alexandri",4040,"species","aleswi1","Cape Verde Swift","Caprimulgiformes","Apodidae",NA,"סיס כף ורדה"
